YYMMDD,STN,TA_AVG,TA_MAX,TA_MIN,HM_AVG,RN_DAY,DATE
20190406,254,11.9,21.4,1544,45.1,-9.0,2019-04-06
20190406,255,14.4,21.3,1253,33.3,-9.0,2019-04-06
20190406,257,13.6,20.5,1228,51.9,-9.0,2019-04-06
20190406,258,12.4,21.6,1439,43.3,-9.0,2019-04-06
20190406,259,11.8,21.3,1634,50.8,-9.0,2019-04-06
20190406,260,12.0,22.9,1444,55.1,-9.0,2019-04-06
20190406,261,9.5,20.3,1356,65.5,-9.0,2019-04-06
20190406,262,12.4,20.9,1416,45.0,-9.0,2019-04-06
20190406,263,13.4,23.2,1337,34.8,-9.0,2019-04-06
20190406,264,13.2,23.3,1442,41.3,-9.0,2019-04-06
20190406,266,15.1,21.9,1529,26.0,-9.0,2019-04-06
20190406,268,11.1,20.7,1233,61.6,-9.0,2019-04-06
20190406,271,8.8,18.4,1436,38.8,-9.0,2019-04-06
20190406,272,10.8,18.3,1337,30.0,-9.0,2019-04-06
20190406,273,12.7,20.8,1449,30.0,0.0,2019-04-06
20190406,276,10.6,20.4,1521,39.4,-9.0,2019-04-06
20190406,277,12.6,18.1,1225,42.4,-9.0,2019-04-06
20190406,278,11.2,22.5,1519,36.1,-9.0,2019-04-06
20190406,279,14.1,23.2,1519,28.1,-9.0,2019-04-06
20190406,281,15.0,23.9,1620,26.0,-9.0,2019-04-06
20190406,283,13.9,22.7,1400,41.0,-9.0,2019-04-06
20190406,284,12.4,23.1,1415,37.9,-9.0,2019-04-06
20190406,285,14.3,23.9,1421,27.5,-9.0,2019-04-06
20190406,288,13.3,22.6,1312,34.0,-9.0,2019-04-06
20190406,289,13.7,23.6,1406,30.3,-9.0,2019-04-06
20190406,294,14.4,20.6,1435,49.6,-9.0,2019-04-06
20190406,295,14.1,21.3,1549,38.5,-9.0,2019-04-06
20200319,90,11.6,17.1,727,35.0,0.3,2020-03-19
20200319,93,5.9,12.1,953,55.3,0.1,2020-03-19
20200319,95,8.6,11.9,711,50.0,0.0,2020-03-19
20200319,98,8.7,12.1,645,50.5,0.0,2020-03-19
20200319,99,8.3,11.1,1318,56.9,-9.0,2020-03-19
20200319,100,4.3,10.6,919,63.5,5.2,2020-03-19
20200319,101,6.5,11.9,1009,53.0,0.1,2020-03-19
20200319,102,8.0,12.6,208,68.8,-9.0,2020-03-19
20200319,104,11.9,17.7,928,34.4,1.1,2020-03-19
20200319,105,12.2,18.6,909,40.6,0.3,2020-03-19
20200319,106,12.1,19.4,945,40.4,0.0,2020-03-19
20200319,108,9.1,12.1,641,49.0,0.0,2020-03-19
20200319,112,8.2,11.5,1,63.8,-9.0,2020-03-19
20200319,114,7.9,14.9,758,48.8,0.0,2020-03-19
20200319,115,10.4,15.7,1142,63.8,-9.0,2020-03-19
20200319,119,8.7,13.5,702,71.5,-9.0,2020-03-19
20200319,121,5.9,14.3,1025,54.9,0.3,2020-03-19
20200319,127,8.4,15.8,852,52.1,-9.0,2020-03-19
20200319,129,8.8,11.3,1032,61.6,-9.0,2020-03-19
20200319,130,12.5,20.5,1057,35.8,0.0,2020-03-19
20200319,131,9.8,14.6,752,44.6,-9.0,2020-03-19
20200319,133,10.4,15.4,754,51.9,-9.0,2020-03-19
20200319,135,7.6,15.8,842,44.5,-9.0,2020-03-19
20200319,136,7.5,16.0,1211,47.9,-9.0,2020-03-19
20200319,137,7.2,16.5,1043,51.5,-9.0,2020-03-19
20200319,138,13.5,21.5,1131,41.0,-9.0,2020-03-19
20200319,140,9.5,14.1,739,65.0,-9.0,2020-03-19
20200319,143,10.8,19.4,1046,52.0,-9.0,2020-03-19
20200319,146,10.3,16.1,758,52.9,-9.0,2020-03-19
20200319,152,13.4,20.7,1506,45.1,-9.0,2020-03-19
20200319,155,12.1,20.0,1207,47.1,-9.0,2020-03-19
20200319,156,10.3,14.3,1259,54.3,-9.0,2020-03-19
20200319,159,12.6,18.2,1521,55.1,-9.0,2020-03-19
20200319,162,12.4,17.2,1212,57.6,-9.0,2020-03-19
20200319,165,9.3,12.7,808,65.5,-9.0,2020-03-19
20200319,168,11.3,16.6,1310,58.0,-9.0,2020-03-19
20200319,169,10.0,13.7,605,66.8,-9.0,2020-03-19
20200319,170,11.6,15.2,616,58.8,-9.0,2020-03-19
20200319,172,10.1,14.3,717,61.0,-9.0,2020-03-19
20200319,174,7.4,16.2,956,59.5,-9.0,2020-03-19
20200319,177,9.6,13.6,548,54.4,-9.0,2020-03-19
20200319,184,13.9,21.2,937,46.3,-9.0,2020-03-19
20200319,185,11.5,14.2,1011,74.6,-9.0,2020-03-19
20200319,188,12.1,19.1,1042,56.0,-9.0,2020-03-19
20200319,189,13.4,21.1,1405,66.4,-9.0,2020-03-19
20200319,192,12.1,18.5,1134,50.1,-9.0,2020-03-19
20200319,201,8.9,11.9,3,56.8,-9.0,2020-03-19
20200319,202,8.4,13.5,855,51.6,0.0,2020-03-19
20200319,203,7.3,12.9,829,58.4,0.2,2020-03-19
20200319,211,7.8,12.0,743,43.3,0.6,2020-03-19
20200319,212,6.9,13.2,830,53.8,0.0,2020-03-19
20200319,216,6.5,12.7,944,46.8,0.4,2020-03-19
20200319,217,4.3,12.5,1106,69.8,0.5,2020-03-19
20200319,221,5.9,13.7,903,58.4,0.0,2020-03-19
20200319,226,6.8,14.7,853,57.1,-9.0,2020-03-19
20200319,232,10.0,14.0,849,51.8,-9.0,2020-03-19
20200319,235,9.4,12.9,558,63.6,-9.0,2020-03-19
20200319,236,9.1,13.9,744,58.0,-9.0,2020-03-19
20200319,238,9.9,16.2,758,49.9,-9.0,2020-03-19
20200319,239,10.2,14.2,652,45.5,-9.0,2020-03-19
20200319,243,10.3,14.9,751,61.8,-9.0,2020-03-19
20200319,244,8.1,13.4,909,57.9,-9.0,2020-03-19
20200319,245,10.2,14.2,716,51.3,-9.0,2020-03-19
20200319,247,7.8,14.2,1218,55.0,-9.0,2020-03-19
20200319,248,8.2,12.9,858,55.6,-9.0,2020-03-19
20200319,251,10.3,14.1,810,52.1,-9.0,2020-03-19
20200319,252,9.9,13.6,814,63.9,-9.0,2020-03-19
20200319,253,12.7,19.9,1507,50.6,-9.0,2020-03-19
20200319,254,7.4,13.2,1059,56.4,-9.0,2020-03-19
20200319,255,13.4,21.8,1413,52.3,-9.0,2020-03-19
20200319,257,12.1,20.5,1503,51.9,-9.0,2020-03-19
20200319,258,9.2,16.4,948,65.0,-9.0,2020-03-19
20200319,259,9.9,14.7,840,58.0,-9.0,2020-03-19
20200319,260,9.2,15.4,921,58.9,-9.0,2020-03-19
20200319,261,10.3,13.4,904,62.6,-9.0,2020-03-19
20200319,262,10.9,15.4,946,55.8,-9.0,2020-03-19
20200319,263,11.6,20.2,1314,48.5,-9.0,2020-03-19
20200319,264,8.1,16.9,957,49.3,-9.0,2020-03-19
20200319,266,11.4,18.5,1127,49.4,-9.0,2020-03-19
20200319,268,10.7,13.6,853,64.4,-9.0,2020-03-19
20200319,271,6.0,15.3,1243,55.9,-9.0,2020-03-19
20200319,272,6.6,15.4,1139,51.4,-9.0,2020-03-19
20200319,273,7.5,14.9,1030,50.5,-9.0,2020-03-19
20200319,276,6.8,19.8,1048,58.4,0.0,2020-03-19
20200319,277,12.8,22.1,1200,35.9,0.0,2020-03-19
20200319,278,7.9,19.0,1100,53.5,-9.0,2020-03-19
20200319,279,10.4,19.1,1147,50.8,-9.0,2020-03-19
20200319,281,10.1,19.4,1343,46.9,-9.0,2020-03-19
